Year,Month,CPI,UER,CCInterest,PLRateOfInt,WagePerHour,Advertising,HLD_NYDY,HLD_MLKJ,HLD_VLND,HLD_PRES,HLD_ESTR,HLD_MTHR,HLD_MOMR,HLD_FTHR,HLD_INDO,HLD_INDA,HLD_LABR,HLD_CLMB,HLD_HLWE,HLD_VTRN,HLD_THKS,HLD_CHEV,HLD_CHRS,HLD_NYRE,Sales
2015 , Feb,259.24,5.5,11.98,9.85,25.05,0,,,1,1,,,,,,,,,,,,,,,3646
2015 , Mar,259.647,5.4,11.98,9.85,25.04,0,,,,,,,,,,,,,,,,,,,4294
2015 , Apr,259.959,5.4,11.98,9.85,24.94,0,,,,,1,,,,,,,,,,,,,,4353.5
2015 , May,261.066,5.5,12.04,9.69,24.88,0,,,,,,1,1,,,,,,,,,,,,4413
2015 , Jun,261.512,5.3,12.04,9.69,24.77,0,,,,,,,,1,,,,,,,,,,,3899
2015 , Jul,261.199,5.2,12.04,9.69,24.83,0,,,,,,,,,1,1,,,,,,,,,3817
2015 , Aug,261.347,5.1,12.1,9.8,25.04,0,,,,,,,,,,,,,,,,,,,3897
2015 , Sep,261.887,5,12.1,9.8,25.05,0,,,,,,,,,,,1,,,,,,,,3881
2015 , Oct,261.515,5,12.1,9.8,25.14,183,,,,,,,,,,,,1,1,,,,,,4372
2015 , Nov,261.009,5,12.22,9.66,25.38,0,,,,,,,,,,,,,,1,1,,,,4401
2015 , Dec,259.941,5,12.22,9.66,25.21,0,,,,,,,,,,,,,,,,1,1,1,5874
2016 , Jan,260.342,4.9,12.22,9.66,25.5,0,1,1,,,,,,,,,,,,,,,,,
2016 , Feb,260.875,4.9,12.31,10.03,25.49,0,,,1,1,,,,,,,,,,,,,,,
2016 , Mar,261.508,5,12.31,10.03,25.49,0,,,,,,,,,,,,,,,,,,,
2016 , Apr,262.619,5,12.31,10.03,25.6,0,,,,,1,,,,,,,,,,,,,,
2016 , May,263.312,4.7,12.16,9.65,25.68,0,,,,,,1,1,,,,,,,,,,,,
2016 , Jun,263.877,4.9,12.16,9.65,25.42,0,,,,,,,,1,,,,,,,,,,,
2016 , Jul,263.722,4.9,12.16,9.65,25.53,0,,,,,,,,,1,1,,,,,,,,,
2016 , Aug,264.16,4.9,12.51,9.64,25.52,0,,,,,,,,,,,,,,,,,,,
2016 , Sep,264.602,4.9,12.51,9.64,25.74,0,,,,,,,,,,,1,,,,,,,,
2016 , Oct,264.738,4.8,12.51,9.64,26.04,0,,,,,,,,,,,,1,1,,,,,,
2016 , Nov,265.203,4.6,12.41,9.45,25.87,0,,,,,,,,,,,,,,1,1,,,,
2016 , Dec,265.421,4.7,12.41,9.45,25.9,0,,,,,,,,,,,,,,,,1,1,1,
